ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL2203613;ccr5_human;Human;Yes;1;Funct;8.10;8.10;8.10;p(-log);459;7;1;3;5.4;CC1CC(CC(N1CCC(C2=CC=CC=C2)NC(=O)C3CCC3)C)N4C(=NC5=CC=CC=C54)C
CHEMBL2204270;ccr2_human;Human;No;1;Funct;6.72;6.72;6.72;p(-log);494;6;3;9;2.6;C1CC(CCC1N2CC(C2)NC(=O)CNC(=O)C3=CC(=CC=C3)C(F)(F)F)(C4=CN=C(C=C4)F)O
CHEMBL2207092;ccr4_human;Human;No;1;Funct;5.50;5.50;5.50;p(-log);374;5;1;6;2.2;C1=CC(=CC(=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)CN3C=CN=N3)C#N
CHEMBL2207092;ccr2_human;Human;No;1;Funct;5.80;5.80;5.80;p(-log);374;5;1;6;2.2;C1=CC(=CC(=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)CN3C=CN=N3)C#N
CHEMBL2207092;ccr1_human;Human;No;1;Funct;5.10;5.10;5.10;p(-log);374;5;1;6;2.2;C1=CC(=CC(=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)CN3C=CN=N3)C#N
CHEMBL2207671;ccr3_human;Human;No;1;Funct;8.10;8.10;8.10;p(-log);568;8;3;7;2.5;CS(=O)(=O)C1=CC2=C(C=C1)C(=CNC2=O)C(=O)NCC(CN3CCC(CC3)OC4=CC(=C(C=C4)Cl)Cl)O
CHEMBL2208437;ccr3_human;Human;No;1;Funct;7.10;7.10;7.10;p(-log);514;9;3;6;3.3;CS(=O)(=O)C1=CC=CC=C1C(=O)NCC(CNC2CCN(CC2)CC3=CC(=C(C=C3)Cl)Cl)O
CHEMBL222062;ccr8_human;Human;No;1;Funct;8.02;8.02;8.02;p(-log);494;7;2;5;4.2;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=C(C=C4)C
CHEMBL218209;ccr8_human;Human;No;1;Funct;6.69;6.69;6.69;p(-log);488;7;2;6;2.5;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4CCOCC4
CHEMBL219432;ccr8_human;Human;No;1;Funct;5.82;5.82;5.82;p(-log);470;7;2;6;2.9;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=COC=C4
CHEMBL218744;cxcr2_human;Human;No;1;Funct;7.92;7.92;7.92;p(-log);565;10;4;8;4.7;CCC(CC)(NS(=O)(=O)C1=CC=CC(=C1O)NC(=NC2=CC=CC=C2Br)NC#N)N3CCOCC3
CHEMBL218744;cxcr1_human;Human;No;1;Funct;6.24;6.24;6.24;p(-log);565;10;4;8;4.7;CCC(CC)(NS(=O)(=O)C1=CC=CC(=C1O)NC(=NC2=CC=CC=C2Br)NC#N)N3CCOCC3
CHEMBL218554;ccr8_human;Human;No;1;Funct;7.24;7.24;7.24;p(-log);458;7;2;5;3.2;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4CCC4
CHEMBL219347;cxcr2_human;Human;No;1;Funct;6.63;6.63;6.63;p(-log);393;7;3;6;3.6;CCC(C1=CC=CC=C1)NC2=C(C(=O)C2=O)NC3=CC=CC(=C3O)C(=O)N(C)C
CHEMBL2205690;cxcr3_human;Human;No;1;Funct;5.50;5.50;5.50;p(-log);332;5;0;1;5.4;CC1(C2CC=C(C1C2)CN(C)CC3=CC=C(C=C3)C4=CC=CC=C4)C
CHEMBL2207279;ccr3_human;Human;No;1;Funct;8.40;8.40;8.40;p(-log);488;7;3;6;3.1;CC1=C(C=CC(=C1)Cl)OC2CCN(CC2)CC(CNC(=O)C3=CNC(=O)C4=C3C=CC(=C4)F)O
CHEMBL2205713;cxcr3_human;Human;No;1;Funct;5.50;5.50;5.50;p(-log);324;4;0;1;5.1;CC1(C2CC=C(C1C2)CN(C)CC3=CC(=C(C=C3)Cl)Cl)C
CHEMBL2204264;ccr2_human;Human;No;2;Funct;7.11;7.15;7.19;p(-log);511;7;3;9;3.1;CCC1=NC=C(S1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC(=O)C4=CC(=CC=C4)C(F)(F)F)O
CHEMBL2207095;ccr4_human;Human;No;1;Funct;5.50;5.50;5.50;p(-log);405;5;1;6;3.5;C1=CC=C2C(=C1)C(=CS2)S(=O)(=O)NC3=C(C=CC(=C3)Cl)CN4C=CN=N4
CHEMBL2207095;ccr2_human;Human;No;1;Funct;7.20;7.20;7.20;p(-log);405;5;1;6;3.5;C1=CC=C2C(=C1)C(=CS2)S(=O)(=O)NC3=C(C=CC(=C3)Cl)CN4C=CN=N4
CHEMBL2207095;ccr1_human;Human;No;1;Funct;5.80;5.80;5.80;p(-log);405;5;1;6;3.5;C1=CC=C2C(=C1)C(=CS2)S(=O)(=O)NC3=C(C=CC(=C3)Cl)CN4C=CN=N4
CHEMBL2207661;ccr3_human;Human;No;1;Funct;8.80;8.80;8.80;p(-log);453;8;3;5;3.0;C1CC1C2=C(C=NN2)C(=O)NCC(CN3CCC(CC3)OC4=CC(=C(C=C4)Cl)Cl)O
CHEMBL219380;ccr8_human;Human;No;1;Funct;7.72;7.72;7.72;p(-log);498;7;2;6;4.0;CCCC(=O)N1CCC(CC1)NS(=O)(=O)C2=CC=C(C3=CC=CC=C32)NC(=O)C4=CC=CC=C4F
CHEMBL2207668;ccr3_human;Human;No;1;Funct;7.50;7.50;7.50;p(-log);447;7;3;6;1.7;C1CN(CCC1OC2=CC=C(C=C2)C#N)CC(CNC(=O)C3=CNC(=O)C4=CC=CC=C43)O
CHEMBL2180191;ccr1_human;Human;No;1;Funct;7.66;7.66;7.66;p(-log);441;7;1;2;5.6;CC1=CC(=CC=C1)CCC(=O)NC(C(C)C)C(=O)N2CCC(CC2)C3=CC=C(C=C3)Cl
CHEMBL2180519;ccr1_human;Human;No;1;Funct;6.52;6.52;6.52;p(-log);449;7;1;4;4.6;CC(C)C(C(=O)N1CCC(CC1)C2=CC=C(C=C2)Cl)NS(=O)(=O)CC3=CC=CC=C3
CHEMBL2204248;ccr2_human;Human;No;1;Funct;6.60;6.60;6.60;p(-log);507;7;3;9;2.2;COC1=CN=C(C=C1)C2(CCC(CC2)N3CC(C3)NC(=O)CNC(=O)C4=CC(=CC=C4)C(F)(F)F)O
